Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Date,Date_reference,Date_sort,Date_hierarchy,Area,Area_reference,Area_sort,Area_hierarchy,Register,Register_reference,Register_sort,Register_hierarchy,Notes
"1,503",1503,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Bradley's Practice,W00076,81,CC110,Obesity (patients aged 16+),OB,16,,
"8,065",8065,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Ashgrove Medical Centre,W00133,82,CC202,Patients registered at GP practice,LIST,1,,
920,920,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Ashgrove Medical Centre,W00133,82,CC202,Obesity (patients aged 16+),OB,16,,
"11,468",11468,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,The Llwynhendy Health Centre,W00134,83,CC202,Patients registered at GP practice,LIST,1,,
"1,588",1588,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,The Llwynhendy Health Centre,W00134,83,CC202,Obesity (patients aged 16+),OB,16,,
"6,451",6451,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Amman Tawe Partnership,W00142,85,CC201,Patients registered at GP practice,LIST,1,,
696,696,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Amman Tawe Partnership,W00142,85,CC201,Obesity (patients aged 16+),OB,16,,
"3,629",3629,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Amman Tawe Partnership,W00143,86,CC311,Patients registered at GP practice,LIST,1,,
421,421,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Amman Tawe Partnership,W00143,86,CC311,Obesity (patients aged 16+),OB,16,,
"21,342",21342,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Waterside Medical Practice,W00144,87,CC309,Patients registered at GP practice,LIST,1,,
"1,853",1853,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Waterside Medical Practice,W00144,87,CC309,Obesity (patients aged 16+),OB,16,,
"10,975",10975,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Plas Meddyg Surgery,W91002,88,CC103,Patients registered at GP practice,LIST,1,,
951,951,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Plas Meddyg Surgery,W91002,88,CC103,Obesity (patients aged 16+),OB,16,,
"17,536",17536,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Clarence Medical Centre,W91003,89,CC111,Patients registered at GP practice,LIST,1,,
"2,168",2168,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Clarence Medical Centre,W91003,89,CC111,Obesity (patients aged 16+),OB,16,,
"14,286",14286,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Strathmore Medical Practice,W91004,90,CC114,Patients registered at GP practice,LIST,1,,
"2,280",2280,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Strathmore Medical Practice,W91004,90,CC114,Obesity (patients aged 16+),OB,16,,
"10,371",10371,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Pendre Surgery,W91005,91,CC108,Patients registered at GP practice,LIST,1,,
"1,807",1807,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Pendre Surgery,W91005,91,CC108,Obesity (patients aged 16+),OB,16,,
"7,570",7570,Number on register,1,1,,01/04/2025,20250401,1.74355E+12,,Pen y Maes Health Centre,W91006,92,CC113,Patients registered at GP practice,LIST,1,,
